,Unnamed: 0,image,caption
0,0,6161478369.jpg,Two men and one woman are performing on stage for a small audience.
1,1,4970631613.jpg,"A woman wearing an elaborate array of feathers in her hair, a bead necklace, a med"
2,2,2678171436.jpg,"s eye view of a man working outside in a white shirt.""]"
3,3,3091962081.jpg,The man is dressed in black and smiling while another man is drinking and an elderly woman is
4,4,4176576400.jpg,"A man sitting on a lawn chair is carrying an infant on his lap, while a dog"
5,5,390899859.jpg,A man and a woman standing outside a house next to an audio speaker.
6,6,3184454192.jpg,Wonderful clear skies and beautiful nights.
7,7,1360456780.jpg,A woman wearing very formal colorful clothing and she seems to be dancing.
8,8,512163695.jpg,A man walks between houses.
9,9,3560726559.jpg,A young boy wearing a suit and top hat is holding hands with a girl in a green
10,10,3248869467.jpg,"Two people standing in the middle of the crowd, one of them is crying."
11,11,4846324908.jpg,Two young women discuss something while waiting.
12,12,2078020414.jpg,"A painter hanging on the side of a building painting, with two buckets strapped at his sides"
13,13,3257103624.jpg,A man in dark gear and a man in light gear wade through deep water.
14,14,4896937239.jpg,A person wearing all white is sitting on concrete while a cat sits behind them.
15,15,4986123752.jpg,"Two older people, dressed in nice clothes, walk down a street."
16,16,5352303362.jpg,A woman speaking in a theater.
17,17,2911552402.jpg,A biker on top of a shallow hill attempts a trick nearby a gate and grassy
18,18,291768952.jpg,This guy in the green shirt is showing how easy it is to jump and act a fool
19,19,479807833.jpg,A man wearing protective gear riding a dirt bike up a rocky hill.
20,20,3994030417.jpg,A man in a jacket works atop a set of stairs.
21,21,3759492488.jpg,A little kid swings on a pole at a playground?
22,22,4401471260.jpg,A man wearing a black coat is standing behind a camera on a tripod.
23,23,4725691880.jpg,People in grocery stores?
24,24,2839397766.jpg,A birthday party is going on with lots of people celebrating.
25,25,1858963639.jpg,A woman with a helmet and climbing rope smiles at the camera.
26,26,4777133573.jpg,A street vendor selling red roses.
27,27,369244499.jpg,A man with a ponytail is playing a decorated piano in the street next to a table
28,28,445148321.jpg,A person in the distance hikes among hoodoos with stars visible in the sky.
29,29,243162937.jpg,People in a crowd that seem to be listening to someone speak and possibly worshiping.
30,30,2572812372.jpg,A group of walkers looking at a store display.
31,31,108503753.jpg,Helicopter taking off from airport?
32,32,4751207389.jpg,This is a woman in a yellow shirt carrying a brown bag.
33,33,4858197102.jpg,A new father is holding his newborn in the hospital.
34,34,2678193588.jpg,These kids are having fun coloring.
35,35,4330138788.jpg,A group drumming for a crowd.
36,36,3528105511.jpg,A person rides a motorbike in the air.
37,37,29389675.jpg,"A woman sits in a room and brushes her dyed hair, which is red."
38,38,4088604271.jpg,"A group of children, standing in a circle holding hands."
39,39,2538662929.jpg,"At a picnic table, mothers tend to their children."
40,40,2148234367.jpg,A police officer is talking to a man in a car.
41,41,4187701204.jpg,A boy and a girl are standing near a clown.
42,42,7360673198.jpg,Asian women dancing to their favorite music.
43,43,2520909293.jpg,Man holding onto bike handlebars while in midair.
44,44,533602654.jpg,Two children on their stomachs lay on the ground under a pipe.
45,45,6372114839.jpg,"A man in a blue shirt looks through a large telescope outside, while a man wearing a"
46,46,2701042060.jpg,A black dog is drinking next to a brown and white dog that is looking at an orange
47,47,1624055939.jpg,A young girl who is sitting on a giant orange pumpkin and surrounded by pots of flowers smiles
48,48,2464118785.jpg,A lady throwing an object at a target trying to win a prize at a carnival.
49,49,3471117376.jpg,A child in white and pink is picking a white flowered tree next to a fence.
50,50,2830579786.jpg,People stand on top of a red tourist bus.
51,51,4945543678.jpg,Two men stride side by side on the sidewalk along a red painted wall.
52,52,453275575.jpg,Guy on beach with weird creature.
53,53,8156336385.jpg,"Two dancers, one man and one woman, are hand in hand in a dancing stance."
54,54,7347276120.jpg,Two young ladies carefully balancing while walking across a log in a field with tall grass.
55,55,205744277.jpg,The man standing at the top of the frame has sparks coming from the tool he is working
56,56,2558312618.jpg,A brown dog is jumping through a field.
57,57,2172574039.jpg,People are skiing down a snow covered mountain.
58,58,4958945147.jpg,A man in black pants and a black tee is sitting on a bench in front of a
59,59,4860393512.jpg,Two men are sitting on a wooden bench sleeping on each other.
60,60,2175758177.jpg,A baby sleep in its bed.
61,61,610841649.jpg,Men in red and men in white are playing a game of soccer.
62,62,3519232801.jpg,A group of adults viewing a presentation in a school gymnasium.
63,63,4575380951.jpg,A lady in a convent rolling dough in the kitchen.
64,64,354999632.jpg,"Inside the igloo, the young man gets ready for his overnight stay."
65,65,1418266617.jpg,A black and white dog jumps over a pole while splashing water around.
66,66,3887721909.jpg,Two old women in polka dot dresses sitting on a bench.
67,67,262817915.jpg,A man is playing with his birthday cake.
68,68,3262849619.jpg,A brown and white dog walks in the snow with a big piece of snow in his mouth
69,69,161877800.jpg,A little girl is watching a man play guitar on the street.
70,70,3212671393.jpg,A man putting shingles on a roof.
71,71,109608573.jpg,A man in a white T-shirt standing beside a rack of colorful hats.
72,72,527946505.jpg,A black dog on a dock about to dive into the water after a ball.
73,73,8217001488.jpg,An older man with a grey beard and a floppy hat holds up a thin object towards the
74,74,4918025501.jpg,A man takes photographs of a flowery field.
75,75,2341245764.jpg,A black man painting a sign.
76,76,3856182861.jpg,Three female workers in a medical facility looking at printed material.
77,77,6615220801.jpg,A skier is going down a snow covered mountain.
78,78,3190159986.jpg,A woman sitting next to a sitting man.
79,79,324450575.jpg,Two African boys stand and look at a white goat.
80,80,3773310720.jpg,A man making a canvas shade.
81,81,4609961499.jpg,A boy is riding a bicycle with no hands near a group of people.
82,82,4859793807.jpg,A bald man is looking out at a crowd of people.
83,83,5499892202.jpg,A man in a tractor going down a dusty road!
84,84,4871268492.jpg,A little girl is squinting and looking into a lens.
85,85,2147870343.jpg,A man and a woman are hanging decorations in a hallway.
86,86,2365967839.jpg,"With adult supervision, kids race around a go-cart track."
87,87,2664250718.jpg,A man is holding camera equipment while talking to two other men.
88,88,3636491114.jpg,A swimmer doing backstrokes in a pool
89,89,320593325.jpg,There is a middle-aged lady who is performing with 2 fans in her hand and a
90,90,4948440838.jpg,"A young Asian woman in heels and a skirt, and carrying a bag and a music player"
91,91,283214657.jpg,"A man sits on a pile of rugs by a building, while three more men and"
92,92,111069375.jpg,Two people performing tricks with fire for a crowd.
93,93,4709236483.jpg,A group of people walk down a pedestrian only street in Asia near large green trees and older
94,94,2705860464.jpg,"Three children, a blond and two brunettes, are playing doctor with a mannequin"
95,95,4650040688.jpg,"An older man is wearing a hat and holding a political sign, while an American flag is"
96,96,2131762850.jpg,The boy wearing the red jacket and helmet is winking.
97,97,3597921737.jpg,Two women stand together and one holds a purple cloth.
98,98,3972940813.jpg,A man trying to cross the street with a fruit cart.
99,99,261436644.jpg,A young boy is playing doctor with a toy stethoscope along with a woman.
100,100,2057306459.jpg,A person in a field walks toward their white and orange parachute while another holds it.
101,101,3553476195.jpg,Two black dogs are playing with an orange stuffed dog toy.
102,102,5345473274.jpg,A female gymnast captured in midair during a jump.
103,103,878278559.jpg,"s wedding as they smile at him.""]"
104,104,7470837898.jpg,Three gentlemen playing a board game :
105,105,4005120966.jpg,A paramedic wheeling a stretcher with an equipment bag on top.
106,106,3093357135.jpg,
107,107,7348146586.jpg,Horses and jockeys running in a turf race.
108,108,29339871.jpg,"Two young men, one in blue and one in red, stand balanced on two red wooden"
109,109,2394763838.jpg,A tan dog carrying a stick runs over a garden hose lying in a low cut grassy
110,110,4584450444.jpg,Can you eat tripe?
111,111,157308126.jpg,Three swimmers swim in their respective lanes.
112,112,2346468781.jpg,A man and a woman laughing.
113,113,253958810.jpg,A larger group of mostly Asian people in a building with SpongeBob posters on pillars.
114,114,10637120.jpg,A worker wearing a hard hat watching a large machine dig a trench in the dry dirt.
115,115,4507759822.jpg,"s hand as she crosses the street.""]"
116,116,2719101587.jpg,A guy doing tricks on a motorcycle.
117,117,4966860594.jpg,Two firefighters are standing next to a firetruck.
118,118,7428579548.jpg,A man on stage talking through a microphone in a black leather jacket.
119,119,2887750774.jpg,A brown dog splashes in the water.
120,120,2334774767.jpg,A man throws the bowling ball to knock down the last pin.
121,121,4729676330.jpg,Two men are sitting on camp chairs while reading or studying.
122,122,230339366.jpg,An Asian woman is praying with a candle.
123,123,1570083074.jpg,Two men and one woman playing cards.
124,124,2663977526.jpg,Blue crabs are sold from a bucket at a fish market.
125,125,2920005017.jpg,A man with a towel around his waist sits in a sauna with the light on.
126,126,1049955899.jpg,"Five hikers, one facing the camera and the others facing away from it, are walking through"
127,127,5428747894.jpg,Three older women look at artifacts in a glass display.
128,128,2666111736.jpg,A man in a red shirt and a small boy standing on a rock by the water.
129,129,4932127810.jpg,A girl in blue jacket holding a baby in overalls.
130,130,4337179105.jpg,"A woman in the kitchen, holding a spoon with her left hand and upper rack of the"
131,131,3627076769.jpg,Two women drink while sitting below a platform.
132,132,2442662073.jpg,"A young, college age man is playing his instrument of choice : the acoustic guitar."
133,133,3188872184.jpg,A man on his telephone outside.
134,134,4659370278.jpg,A woman standing by a construction area with a pink umbrella.
135,135,1303550623.jpg,A girl stands in the train tracks.
136,136,3106562372.jpg,A girl in a dress jumps in the air with her legs bent while another girl in pink
137,137,6948564341.jpg,Hockey player takes the puck.
138,138,7114922111.jpg,Man wearing black is windsurfing.
139,139,2341755936.jpg,A little girt wearing a yellow bracelet and yellow socks with shin guards kicks a bright pink
140,140,267164457.jpg,A person hikes down a snowy mountain.
141,141,3214573346.jpg,A white dog with black spots jumps in midair.
142,142,3024001901.jpg,Cable guy hard at workout on the field.
143,143,2872903075.jpg,A woman and a child play in a snow covered yard.
144,144,4743472747.jpg,A man is wearing a Carmen Miranda style costume.
145,145,4055310167.jpg,A man on his knees on top of a roof holding a hammer.
146,146,3693404950.jpg,Women making clothing by hand.
147,147,6848902929.jpg,A bartender pours a frothy drink into a tall glass.
148,148,3970654971.jpg,Rock band playing music in the club?
149,149,2371988553.jpg,A worker cleaning a brick street.
150,150,3143982558.jpg,A baby with a pink outfit on has a pacifier and she is on a chair with
151,151,2399665042.jpg,"s head""]"
152,152,3939508858.jpg,A man in a blue jacket and pink shirt is singing and playing guitar.
153,153,2994179598.jpg,A Miami basketball player looks off in the distance.
154,154,2468921460.jpg,"Inside a gym, girls volleyball teams face off across the net."
155,155,19212715.jpg,A person kayaks in the middle of the ocean on a gray day.
156,156,2215770048.jpg,A little girl in a yellow sweater appears to be scared.
157,157,3421789737.jpg,A child on a spinning wheel holding on for dear life.
158,158,4638657067.jpg,A man wearing jeans and a red T-shirt holding food on a busy street corner.
159,159,4766583860.jpg,A blond girl in a swing wearing Crocs.
160,160,3526150930.jpg,A woman and a young girl pose and smile for a photo.
161,161,2081721157.jpg,A man cook sausages in typical chef clothing.
162,162,404491917.jpg,A man is swimming in a pool.
163,163,2422635080.jpg,A photographer in a red shirt stands inside a room with graffiti on the wall.
164,164,4787069549.jpg,A man stands outside his home by some yellow boxes.
165,165,3431261634.jpg,A surfer is splashed by an ocean wave.
166,166,269986132.jpg,A group of soccer players after a ball.
167,167,366315886.jpg,Three men sitting on a couch and eating food while beers lay on the table.
168,168,2601008162.jpg,A child is holding up a camera in front of its face.
169,169,416933689.jpg,A man fixing some type of vehicle in the background of 2 vases.
170,170,2286239223.jpg,A man and a woman sit on a park bench.
171,171,3697003897.jpg,A skater slides down a wall next to a long staircase.
172,172,4182580764.jpg,There is a martial arts competition where a guy is doing a flip.
173,173,4677846318.jpg,A young boy fishing by himself in a hat on a sunny day.
174,174,4809240949.jpg,A young lady in a red dress with a guitar is playing and singing in the microphone.
175,175,4711694578.jpg,Foamy bubbles overflow from a street fountain.
176,176,275516348.jpg,A dog takes off running on the sand.
177,177,2105893101.jpg,Three boys playing on computers :
178,178,4509496747.jpg,A guy showing his bike to a kid.
179,179,4567351655.jpg,A woman holds a purple umbrella in the rain.
180,180,3242088278.jpg,An eagle standing in water.
181,181,3030565991.jpg,A young field hockey player wearing a blue jersey takes possession of the ball.
182,182,2751789452.jpg,A young man in white shorts prepares to hit a tennis ball.
183,183,542714962.jpg,Shirtless men are playing volleyball.
184,184,4135917871.jpg,A bearded man wearing a beret working on a project using fire.
185,185,4301236235.jpg,People look upon a monument where a speed is given.
186,186,6491222037.jpg,Men wearing costumes take part in a performance as a crowd watches.
187,187,318309410.jpg,Two men are wrestling inside an army gymnasium.
188,188,2173831145.jpg,Too hooded figures walk through a thicket.
189,189,2832610852.jpg,"s neck before he shaves his""]"
190,190,97825959.jpg,A lady in a pink hat is interacting with a lady wearing a tan hat and blue jacket
191,191,4817804359.jpg,Many people have gathered to look at something that is not in the photo.
192,192,601816185.jpg,Four little naked boys playing with an ox in dirty water.
193,193,183437158.jpg,A man with a black backpack is working through a wooded area.
194,194,4873091038.jpg,A man and woman walking across a street next to a mural of a man giving a woman
195,195,352382023.jpg,How do you retrieve a dog retrieving stick in water?
196,196,7988459533.jpg,A male practicing kicking as he works out.
197,197,3239891140.jpg,Two old men in hats doze in the sun outside.
198,198,6852123904.jpg,A man with a yellow shirt and brown overalls is standing behind a table of pastries
199,199,1130017585.jpg,Three girls make faces as one takes a drink while they stand in a busy street.
200,200,226115542.jpg,A group of people eat near a campfire.
201,201,2345386817.jpg,A female swimmer wearing a swimming cap does the butterfly stroke.
202,202,463246331.jpg,2 girls working at a restaurant.
203,203,6240611112.jpg,A man in orange is racing professionally in an orange motorcycle.
204,204,5870433117.jpg,What do women like about cotton candy?
205,205,4590504263.jpg,A man wearing a lot of sponges.
206,206,3673484638.jpg,Two children wearing denim walk on a runway.
207,207,1145810912.jpg,A child using a woodworking tool.
208,208,5535626115.jpg,A man wearing colonial clothes is stripping the sides of a log with an odd tool and a
209,209,4859528111.jpg,A family of three people are watching men in costumes pass by.
210,210,160541986.jpg,A woman with a black sweater and white necklace poses for the camera.
211,211,5876512276.jpg,A crowd of people dance in a circle on the dance floor as a band plays on the
212,212,4733158624.jpg,A woman is wearing a sash while waving.
213,213,4817561184.jpg,A woman in a green shirt and yellow shorts walking down the street.
214,214,4525339446.jpg,A man in a blindfold wearing a blue shirt.
